# Time (sec),Drain (A),Drain (V)
367.878,0.000531811,2.0
368.298,0.000531884,2.0
368.728,0.000531849,2.0
369.158,0.000531944,2.0
369.568,0.000531546,2.0
369.988,0.000531808,2.0
370.417,0.000531787,2.0
370.817,0.000531844,2.0
371.267,0.000531837,2.0
371.697,0.000531335,2.0
372.107,0.000531461,2.0
372.527,0.000531535,2.0
372.937,0.000531429,2.0
373.347,0.000531412,2.0
373.767,0.000531585,2.0
374.197,0.000531665,2.0
374.627,0.000531431,2.0
375.067,0.000531362,2.0
375.507,0.000531169,2.0
376.047,0.00053128,2.0
376.597,0.000531484,2.0
377.027,0.000531402,2.0
377.467,0.000531073,2.0
377.877,0.000530962,2.0
378.297,0.000531054,2.0
378.727,0.000530962,2.0
379.147,0.000530966,2.0
379.567,0.000530666,2.0
379.977,0.000530688,2.0
380.407,0.000530322,2.0
380.847,0.000530643,2.0
381.307,0.000530715,2.0
381.747,0.000530336,2.0
382.197,0.000530522,2.0
382.617,0.000530379,2.0
383.057,0.000530307,2.0
383.497,0.000530691,2.0
383.917,0.000530417,2.0
384.357,0.000530508,2.0
384.777,0.000530705,2.0
385.197,0.000530261,2.0
385.627,0.000530571,2.0
386.067,0.000530524,2.0
386.497,0.000530128,2.0
386.926,0.000530075,2.0
387.346,0.000530136,2.0
387.776,0.000530221,2.0
388.206,0.000530274,2.0
388.656,0.000530192,2.0
389.096,0.000530241,2.0
389.536,0.000530279,2.0
389.966,0.000530113,2.0
390.436,0.000530068,2.0
390.856,0.000530126,2.0
391.276,0.000529964,2.0
391.706,0.00052995,2.0
392.136,0.00052956,2.0
392.566,0.000529613,2.0
393.016,0.000529625,2.0
393.436,0.000529824,2.0
393.906,0.000529399,2.0
394.326,0.000529611,2.0
394.756,0.000529085,2.0
395.176,0.000529393,2.0
395.596,0.000529212,2.0
396.026,0.000529213,2.0
396.486,0.000528903,2.0
396.906,0.000529041,2.0
397.326,0.000528756,2.0
397.766,0.000528919,2.0
398.196,0.000529037,2.0
398.646,0.000529034,2.0
399.086,0.000529051,2.0
399.516,0.0005284,2.0
399.956,0.000528622,2.0
400.376,0.000529112,2.0
400.816,0.000528969,2.0
401.266,0.000528839,2.0
401.686,0.000528882,2.0
402.116,0.000528848,2.0
402.536,0.000528754,2.0
402.966,0.000528818,2.0
403.405,0.000528976,2.0
403.845,0.000528841,2.0
404.275,0.000529021,2.0
404.695,0.000528878,2.0
405.155,0.00052861,2.0
405.625,0.000528532,2.0
406.065,0.000528871,2.0
406.505,0.000528806,2.0
406.925,0.000528421,2.0
407.355,0.000528567,2.0
407.785,0.000528638,2.0
408.215,0.000528839,2.0
408.635,0.000528495,2.0
409.065,0.00052814,2.0
409.475,0.000528435,2.0
409.925,0.000528334,2.0
410.395,0.00052832,2.0
410.835,0.000528004,2.0
411.265,0.00052821,2.0
411.735,0.000528254,2.0
412.175,0.000527955,2.0
412.605,0.000528001,2.0
413.045,0.000527856,2.0
413.475,0.000527815,2.0
413.925,0.000528003,2.0
414.345,0.000527842,2.0
414.775,0.000527818,2.0
415.225,0.000527898,2.0
415.655,0.000527953,2.0
416.095,0.000527921,2.0
416.545,0.000527925,2.0
416.975,0.000527841,2.0
417.395,0.000527738,2.0
417.825,0.000527636,2.0
418.235,0.000527897,2.0
418.655,0.000527585,2.0
419.075,0.000527767,2.0
419.525,0.000527686,2.0
419.934,0.000527694,2.0
420.394,0.000527804,2.0
420.834,0.000527693,2.0
421.264,0.00052745,2.0
421.714,0.000527418,2.0
422.144,0.000527406,2.0
422.574,0.000527279,2.0
423.004,0.000527353,2.0
423.444,0.000527008,2.0
423.894,0.000527079,2.0
424.344,0.000527097,2.0
424.784,0.000527006,2.0
425.224,0.000527285,2.0
425.684,0.000527338,2.0
426.154,0.000527054,2.0
426.594,0.000527121,2.0
427.064,0.000527209,2.0
427.534,0.000526909,2.0
427.954,0.000527096,2.0
428.394,0.00052718,2.0
428.824,0.000526887,2.0
429.274,0.000526875,2.0
429.734,0.00052704,2.0
430.184,0.000527205,2.0
430.634,0.000527185,2.0
431.074,0.000527048,2.0
431.504,0.000527282,2.0
431.944,0.00052707,2.0
432.394,0.000527205,2.0
432.844,0.00052726,2.0
433.264,0.000526981,2.0
433.694,0.000527169,2.0
434.124,0.000527176,2.0
434.574,0.000527267,2.0
435.014,0.000527525,2.0
435.454,0.000527378,2.0
435.884,0.00052742,2.0
436.323,0.000527452,2.0
436.773,0.000527554,2.0
437.223,0.00052768,2.0
437.643,0.000527794,2.0
438.083,0.000527679,2.0
438.543,0.000527855,2.0
438.983,0.000527953,2.0
439.413,0.000527885,2.0
439.833,0.000528013,2.0
440.263,0.000528013,2.0
440.693,0.000528203,2.0
441.153,0.000528303,2.0
441.593,0.000528266,2.0
442.033,0.000528166,2.0
442.503,0.000528376,2.0
442.923,0.000528491,2.0
443.373,0.000528524,2.0
443.803,0.000528547,2.0
444.253,0.000528531,2.0
444.683,0.000528752,2.0
445.103,0.000528746,2.0
445.543,0.000528679,2.0
